,size_M5,size_M8,r_next,ram_score,ram_severity,ram_flag,psa_score,psa_severity,psa_flag,gso_score,gso_severity,gso_flag,gso_bound,gso_bounded_size
2024-10-01,-0.09947400,-0.09947400,0.01191470,0.00000000,none,False,0.00000000,none,False,0.00000000,none,False,0.11590624,-0.09947400
2024-10-02,-0.09924090,-0.09924090,-0.00749887,0.00000000,none,False,0.00000000,none,False,0.00000000,none,False,0.11681716,-0.09924090
2024-10-03,-0.09878400,-0.09878400,0.07711510,0.00000000,none,False,0.00000000,none,False,0.00000000,none,False,0.11841464,-0.09878400
2024-10-04,-0.09968010,-0.09968010,0.05285291,0.00000000,none,False,0.00000000,none,False,0.00000000,none,False,0.12007466,-0.09968010
2024-10-07,-0.09884560,-0.09884560,0.03230607,0.00000000,none,False,0.00000000,none,False,0.00000000,none,False,0.11814665,-0.09884560
2024-10-08,-0.09862770,-0.09862770,-0.01726575,0.00000000,none,False,0.00000000,none,False,0.00000000,none,False,0.11817563,-0.09862770
2024-10-09,-0.09994400,-0.09994400,-0.02992840,0.00000000,none,False,0.00805410,low,False,0.00000000,none,False,0.11924606,-0.09994400
2024-10-10,-0.09823320,-0.09823320,0.14802308,0.00000000,none,False,0.00724062,low,False,0.00000000,none,False,0.12075849,-0.09823320
2024-10-11,-0.09900360,-0.09900360,-0.05273272,0.00000000,none,False,0.00673326,low,False,0.00000000,none,False,0.12188691,-0.09900360
2024-10-14,-0.09991730,-0.09991730,-0.03717788,0.00000000,none,False,0.00638514,low,False,0.00000000,none,False,0.11105384,-0.09991730
2024-10-15,-0.09881830,-0.09881830,-0.00113286,0.00000000,none,False,0.00613049,low,False,0.00000000,none,False,0.11122731,-0.09881830
2024-10-16,-0.09909810,-0.09909810,-0.00345797,0.00000000,none,False,0.00593535,low,False,0.00000000,none,False,0.11210418,-0.09909810
2024-10-17,-0.09898590,-0.09898590,0.10976607,0.00000000,none,False,0.00578055,low,False,0.00000000,none,False,0.11371389,-0.09898590
2024-10-18,-0.09864420,-0.09864420,0.01466998,0.00000000,none,False,0.00565440,low,False,0.00000000,none,False,0.11533909,-0.09864420
2024-10-21,-0.09929560,-0.09929560,0.00296294,0.00000000,none,False,0.00554931,low,False,0.00000000,none,False,0.11066578,-0.09929560
2024-10-22,-0.09857250,-0.09857250,-0.02652064,0.00000000,none,False,0.00546026,low,False,0.00000000,none,False,0.11215327,-0.09857250
2024-10-23,-0.09886500,-0.09886500,0.09762326,0.00000000,none,False,0.00538366,low,False,0.00000000,none,False,0.11376143,-0.09886500
2024-10-24,-0.09841700,-0.09841700,-0.00659256,0.00000000,none,False,0.00531697,low,False,0.00000000,none,False,0.11499739,-0.09841700
2024-10-25,-0.09907380,-0.09907380,0.08582294,0.00000000,none,False,0.00525826,none,False,0.00000000,none,False,0.11160477,-0.09907380
2024-10-28,-0.09842280,-0.09842280,0.01129337,0.00000000,none,False,0.00520616,none,False,0.00000000,none,False,0.11318324,-0.09842280
2024-10-29,-0.09958260,-0.09958260,-0.04324675,0.00000000,none,False,0.00515948,none,False,0.00000000,none,False,0.11103581,-0.09958260
2024-10-30,-0.09813120,-0.09813120,-0.01142729,0.00000000,none,False,0.00511747,none,False,0.00000000,none,False,0.11257096,-0.09813120
2024-10-31,-0.09892400,-0.09892400,-0.06239764,0.00000000,none,False,0.00507932,none,False,0.00000000,none,False,0.11318260,-0.09892400
2024-11-01,-0.09780000,-0.09780000,-0.02969072,0.00000000,none,False,0.00504458,none,False,0.00000000,none,False,0.11473260,-0.09780000
2024-11-04,-0.09877530,-0.09877530,0.02134111,0.00000000,none,False,0.00501270,none,False,0.00000000,none,False,0.11420878,-0.09877530
2024-11-05,-0.09811560,-0.09811560,0.12375481,0.00000000,none,False,0.00498338,none,False,0.00000000,none,False,0.11534648,-0.09811560
2024-11-06,-0.09795400,-0.09795400,0.04919459,0.00000000,none,False,0.00495629,none,False,0.00000000,none,False,0.11675110,-0.09795400
2024-11-07,-0.09796780,-0.09796780,-0.00144110,0.00000000,none,False,0.00493115,none,False,0.00000000,none,False,0.11027222,-0.09796780
2024-11-08,-0.09749160,-0.09749160,0.22896926,0.00000000,none,False,0.00490778,none,False,0.00000000,none,False,0.11067910,-0.09749160
2024-11-11,-0.09735120,-0.09735120,0.04764103,0.00000000,none,False,0.00488595,none,False,0.00000000,none,False,0.11226840,-0.09735120
2024-11-12,-0.09860000,-0.09860000,-0.08241516,0.00000000,none,False,0.00486548,none,False,0.05576882,none,False,0.09339166,-0.09339166
2024-11-13,-0.09984520,-0.09984520,-0.00216444,0.00000000,none,False,0.00484628,none,False,0.06145068,none,False,0.09406485,-0.09406485
2024-11-14,-0.09851400,-0.09851400,0.03884849,0.00000000,none,False,0.00482825,none,False,0.05531454,none,False,0.09335037,-0.09335037
2024-11-15,-0.09830100,-0.09830100,0.12184221,0.00000000,none,False,0.00481124,none,False,0.03807381,none,False,0.09469558,-0.09469558
2024-11-18,-0.09878850,-0.09878850,0.11234250,0.00000000,none,False,0.00479516,none,False,0.03341290,none,False,0.09559441,-0.09559441
2024-11-19,-0.09619750,-0.09619750,0.09580832,0.00000000,none,False,0.00478003,none,False,0.04026170,none,False,0.09247433,-0.09247433
2024-11-20,-0.09902420,-0.09902420,-0.17620726,0.00000000,none,False,0.00476553,none,False,0.09662287,none,False,0.09029923,-0.09029923
2024-11-21,-0.09950430,-0.09950430,0.06007961,0.00000000,none,False,0.00475180,none,False,0.11566855,none,False,0.08918805,-0.08918805
2024-11-22,-0.09932000,-0.09932000,-0.04466833,0.00000000,none,False,0.00473876,none,False,0.19422147,none,False,0.08316715,-0.08316715
2024-11-25,-0.09703240,-0.09703240,-0.13163176,0.00000000,none,False,0.00472638,none,False,0.16051418,none,False,0.08361156,-0.08361156
2024-11-26,-0.09682800,-0.09682800,0.09474711,0.00000000,none,False,0.00471454,none,False,0.14754205,none,False,0.08437861,-0.08437861
2024-11-27,-0.09903320,-0.09903320,-0.00352951,0.00000000,none,False,0.00470315,none,False,0.20888612,none,False,0.08192103,-0.08192103
2024-11-29,-0.09721000,-0.09721000,-0.01867805,0.00000000,none,False,0.00469234,none,False,0.19527239,none,False,0.08132874,-0.08132874
2024-12-02,-0.09686750,-0.09686750,-0.01822983,0.00000000,none,False,0.00468198,none,False,0.17412175,none,False,0.08250209,-0.08250209
2024-12-03,-0.09887800,-0.09887800,0.08362261,0.00000000,none,False,0.00467197,none,False,0.18248667,none,False,0.08361870,-0.08361870
2024-12-04,-0.09709180,-0.09709180,-0.04948007,0.00000000,none,False,0.00466245,none,False,0.14560222,none,False,0.08475175,-0.08475175
2024-12-05,-0.09744000,-0.09744000,0.02203802,0.00000000,none,False,0.00465325,none,False,0.15398779,none,False,0.08443764,-0.08443764
2024-12-06,-0.09660000,-0.09660000,-0.07808269,0.00000000,none,False,0.00464444,none,False,0.13510950,none,False,0.08510192,-0.08510192
2024-12-09,-0.09875250,-0.09875250,0.03226524,0.00000000,none,False,0.00463588,none,False,0.14530088,none,False,0.08622407,-0.08622407
2024-12-10,-0.09864180,-0.09864180,0.08647231,0.00000000,none,False,0.00462768,none,False,0.14665727,none,False,0.08602553,-0.08602553
2024-12-11,-0.09810320,-0.09810320,-0.04781954,0.00000000,none,False,0.00461978,none,False,0.12726831,none,False,0.08702738,-0.08702738
2024-12-12,-0.09873600,-0.09873600,0.04116159,0.00000000,none,False,0.00461214,none,False,0.14134775,none,False,0.08650825,-0.08650825
2024-12-13,-0.09804750,-0.09804750,-0.00041610,0.00000000,none,False,0.00460478,none,False,0.12440933,none,False,0.08719912,-0.08719912
2024-12-16,-0.09808080,-0.09808080,-0.05556702,0.00000000,none,False,0.00459765,none,False,0.11393754,none,False,0.08804875,-0.08804875
2024-12-17,-0.09804000,-0.09804000,-0.10002080,0.00000000,none,False,0.00459076,none,False,0.09761860,none,False,0.08932064,-0.08932064
2024-12-18,-0.09660500,-0.09660500,-0.06859669,0.00000000,none,False,0.00458413,none,False,0.07596135,none,False,0.08978483,-0.08978483
2024-12-19,-0.09789920,-0.09789920,0.10939580,0.00000000,none,False,0.00457763,none,False,0.10669283,none,False,0.08846105,-0.08846105
2024-12-20,-0.09793800,-0.09793800,-0.09187567,0.00000000,none,False,0.00457136,none,False,0.10629805,none,False,0.08852768,-0.08852768
2024-12-23,-0.09833400,-0.09833400,0.07520810,0.00000000,none,False,0.00456527,none,False,0.13202450,none,False,0.08686561,-0.08686561
2024-12-24,-0.09966900,-0.09966900,-0.04900657,0.00000000,none,False,0.00455937,none,False,0.15761012,none,False,0.08609894,-0.08609894
2024-12-26,-0.09670860,-0.09670860,-0.03293640,0.00000000,none,False,0.00455370,none,False,0.12408116,none,False,0.08603347,-0.08603347
2024-12-27,-0.09890450,-0.09890450,-0.08549190,0.00000000,none,False,0.00454809,none,False,0.14077316,none,False,0.08669953,-0.08669953
2024-12-30,-0.09900000,-0.09900000,-0.04503105,0.00000000,none,False,0.00454268,none,False,0.12908038,none,False,0.08768198,-0.08768198
2024-12-31,-0.09997680,-0.09997680,0.03524614,0.00000000,none,False,0.00453743,none,False,0.14731379,none,False,0.08713989,-0.08713989
2025-01-02,-0.09847080,-0.09847080,0.12412929,0.00000000,none,False,0.00453231,none,False,0.12037263,none,False,0.08789111,-0.08789111
2025-01-03,-0.09900330,-0.09900330,0.10982851,0.00000000,none,False,0.00452733,none,False,0.11423334,none,False,0.08885329,-0.08885329
2025-01-06,-0.09850140,-0.09850140,-0.10463098,0.00000000,none,False,0.00452248,none,False,0.14059468,none,False,0.08635969,-0.08635969
2025-01-07,-0.09856340,-0.09856340,-0.02891168,0.00000000,none,False,0.00451775,none,False,0.16161368,none,False,0.08485041,-0.08485041
2025-01-08,-0.09901470,-0.09901470,-0.01149179,0.00000000,none,False,0.00451315,none,False,0.18360671,none,False,0.08365507,-0.08365507
2025-01-10,-0.09951000,-0.09951000,0.00149317,0.00000000,none,False,0.00450866,none,False,0.17517726,none,False,0.08467659,-0.08467659
2025-01-13,-0.09837300,-0.09837300,0.04107537,0.00000000,none,False,0.00450428,none,False,0.14562336,none,False,0.08586854,-0.08586854
2025-01-14,-0.09852000,-0.09852000,0.05251703,0.00000000,none,False,0.00450001,none,False,0.13099229,none,False,0.08710935,-0.08710935
2025-01-15,-0.09922930,-0.09922930,0.01753709,0.00000000,none,False,0.00449583,none,False,0.12810983,none,False,0.08796068,-0.08796068
2025-01-16,-0.09736740,-0.09736740,0.07731419,0.00000000,none,False,0.00449178,none,False,0.09962439,none,False,0.08854605,-0.08854605
2025-01-17,-0.09909000,-0.09909000,-0.01883965,0.00000000,none,False,0.00448778,none,False,0.10408157,none,False,0.08974880,-0.08974880
2025-01-21,-0.09912500,-0.09912500,-0.03076927,0.00000000,none,False,0.00448389,none,False,0.10776532,none,False,0.08948195,-0.08948195
2025-01-22,-0.09727500,-0.09727500,-0.01116705,0.00000000,none,False,0.00448011,none,False,0.07278719,none,False,0.09067502,-0.09067502
2025-01-23,-0.09810060,-0.09810060,-0.05353576,0.00000000,none,False,0.00447638,none,False,0.06963803,none,False,0.09171383,-0.09171383
2025-01-24,-0.09701120,-0.09701120,-0.01639171,0.00000000,none,False,0.00447277,none,False,0.04314039,none,False,0.09299918,-0.09299918
2025-01-27,-0.09902760,-0.09902760,-0.03506982,0.00000000,none,False,0.00446918,none,False,0.05939370,none,False,0.09347573,-0.09347573
2025-01-28,-0.09741760,-0.09741760,0.01571256,0.00000000,none,False,0.00446571,none,False,0.02827946,none,False,0.09473845,-0.09473845
2025-01-29,-0.09741970,-0.09741970,-0.00340507,0.00000000,none,False,0.00446230,none,False,0.01790061,none,False,0.09570649,-0.09570649
2025-01-30,-0.09896250,-0.09896250,-0.01570678,0.00000000,none,False,0.00445894,none,False,0.02012645,none,False,0.09701003,-0.09701003
2025-01-31,-0.09862610,-0.09862610,0.03608061,0.00000000,none,False,0.00445567,none,False,0.00225674,none,False,0.09840403,-0.09840403
2025-02-03,-0.09708910,-0.09708910,0.00350878,0.00000000,none,False,0.00445249,none,False,0.00000000,none,False,0.09973004,-0.09708910
2025-02-04,-0.09718520,-0.09718520,-0.03390052,0.00000000,none,False,0.00444935,none,False,0.00000000,none,False,0.10069701,-0.09718520
2025-02-05,-0.09752680,-0.09752680,-0.03395282,0.00000000,none,False,0.00444626,none,False,0.00000000,none,False,0.10214426,-0.09752680
2025-02-06,-0.09764300,-0.09764300,0.00643170,0.00000000,none,False,0.00444324,none,False,0.00000000,none,False,0.10314843,-0.09764300
2025-02-07,-0.09763800,-0.09763800,0.02132431,0.00001017,none,False,0.00444027,none,False,0.00000000,none,False,0.10415142,-0.09763800
2025-02-10,-0.09826800,-0.09826800,-0.04636350,0.00000743,none,False,0.00443735,none,False,0.00000000,none,False,0.10563555,-0.09826800
2025-02-11,-0.09703980,-0.09703980,0.02277754,0.00000008,none,False,0.00443453,none,False,0.00000000,none,False,0.10696289,-0.09703980
2025-02-12,-0.09903260,-0.09903260,-0.00583054,0.00000092,none,False,0.00443170,none,False,0.00000000,none,False,0.10751182,-0.09903260
2025-02-13,-0.09804600,-0.09804600,0.03866775,0.00000664,none,False,0.00442895,none,False,0.00000000,none,False,0.10882587,-0.09804600
2025-02-14,-0.09747600,-0.09747600,-0.01119562,0.00000268,none,False,0.00442627,none,False,0.00000000,none,False,0.11037221,-0.09747600
2025-02-18,-0.09794170,-0.09794170,-0.04689505,0.00002202,none,False,0.00442361,none,False,0.00000000,none,False,0.11122773,-0.09794170
2025-02-19,-0.09685130,-0.09685130,0.01634049,0.00005901,none,False,0.00442103,none,False,0.00000000,none,False,0.11275709,-0.09685130
2025-02-20,-0.09878770,-0.09878770,-0.07774800,0.00090952,none,False,0.00441844,none,False,0.00000000,none,False,0.11319307,-0.09878770
2025-02-21,-0.09717600,-0.09717600,-0.05815010,0.00000000,none,False,0.00441595,none,False,0.00000000,none,False,0.11468127,-0.09717600
2025-02-24,-0.09889770,-0.09889770,-0.12109970,0.00000005,none,False,0.00441345,none,False,0.00000000,none,False,0.11302020,-0.09889770
2025-02-25,-0.09896600,-0.09896600,0.04968126,0.00000000,none,False,0.00441102,none,False,0.00000000,none,False,0.11283165,-0.09896600
2025-02-26,-0.09769890,-0.09769890,-0.09233283,0.00000000,none,False,0.00440864,none,False,0.00000000,none,False,0.10724301,-0.09769890
2025-02-27,-0.09740990,-0.09740990,0.06210112,0.00000000,none,False,0.00440630,none,False,0.00000000,none,False,0.10767957,-0.09740990
2025-02-28,-0.09842050,-0.09842050,-0.01781421,0.00000000,none,False,0.00440397,none,False,0.00000000,none,False,0.10541143,-0.09842050
2025-03-03,-0.09961770,-0.09961770,0.09218223,0.00000000,none,False,0.00440170,none,False,0.00000000,none,False,0.10529445,-0.09961770
2025-03-04,-0.09785880,-0.09785880,0.11456748,0.00000000,none,False,0.00439947,none,False,0.00000000,none,False,0.10666506,-0.09785880
2025-03-05,-0.09905400,-0.09905400,-0.01449444,0.00000000,none,False,0.00439725,none,False,0.00000000,none,False,0.10455805,-0.09905400
2025-03-06,-0.09873600,-0.09873600,-0.05728026,0.00000000,none,False,0.00439509,none,False,0.00000000,none,False,0.10088122,-0.09873600
2025-03-07,-0.09731520,-0.09731520,-0.18251653,0.00000000,none,False,0.00439297,none,False,0.00000000,none,False,0.10224942,-0.09731520
2025-03-10,0.00000000,0.00000000,0.08535564,,none,False,,none,False,,none,False,,
2025-03-11,-0.09810070,-0.09810070,0.00749322,0.00000000,none,False,0.00440467,none,False,0.05976059,none,False,0.09256874,-0.09256874
2025-03-12,-0.09902420,-0.09902420,0.00270068,0.00000000,none,False,0.00439016,none,False,0.07836210,none,False,0.09182834,-0.09182834
2025-03-13,-0.09976900,-0.09976900,0.12223840,0.00000000,none,False,0.00438625,none,False,0.07117926,none,False,0.09313940,-0.09313940
2025-03-14,-0.09740620,-0.09740620,-0.01088290,0.00000000,none,False,0.00438390,none,False,0.03094946,none,False,0.09448204,-0.09448204
2025-03-17,-0.09817170,-0.09817170,-0.03837962,0.00000000,none,False,0.00438187,none,False,0.07328997,none,False,0.09146801,-0.09146801
2025-03-18,-0.09710910,-0.09710910,0.07166597,0.00000000,none,False,0.00437994,none,False,0.04697524,none,False,0.09275205,-0.09275205
2025-03-19,-0.09911650,-0.09911650,-0.00712523,0.00000000,none,False,0.00437805,none,False,0.05844119,none,False,0.09364384,-0.09364384
2025-03-20,-0.09735360,-0.09735360,0.00636890,0.00000000,none,False,0.00437617,none,False,0.04156704,none,False,0.09346840,-0.09346840
2025-03-21,-0.09968310,-0.09968310,0.09924978,0.00000000,none,False,0.00437436,none,False,0.05151012,none,False,0.09479995,-0.09479995
2025-03-24,-0.09728000,-0.09728000,0.01797754,0.00000000,none,False,0.00437251,none,False,0.01168625,none,False,0.09615629,-0.09615629
2025-03-25,-0.09735880,-0.09735880,-0.03725547,0.00000000,none,False,0.00437071,none,False,0.03091433,none,False,0.09443927,-0.09443927
